altitude_m,altitude_ft,temperature_K,temperature_C,pressure_Pa,pressure_hPa,density_kg_m3,speed_of_sound_m_s,dynamic_viscosity_Pa_s
64500,211614.2,232.850,-40.300,10.6800,0.106800,0.000160,305.9053,1.5092e-05
65000,213254.6,231.450,-41.700,9.9224,0.099224,0.000149,304.9843,1.5017e-05
65500,214895.0,230.050,-43.100,9.2144,0.092144,0.000140,304.0605,1.4942e-05
66000,216535.4,228.650,-44.500,8.5531,0.085531,0.000130,303.1339,1.4867e-05
66500,218175.9,227.250,-45.900,7.9356,0.079356,0.000122,302.2044,1.4792e-05
67000,219816.3,225.850,-47.300,7.3592,0.073592,0.000114,301.2721,1.4717e-05
67500,221456.7,224.450,-48.700,6.8216,0.068216,0.000106,300.3369,1.4641e-05
68000,223097.1,223.050,-50.100,6.3202,0.063202,0.000099,299.3987,1.4565e-05
68500,224737.5,221.650,-51.500,5.8528,0.058528,0.000092,298.4576,1.4489e-05
69000,226378.0,220.250,-52.900,5.4174,0.054174,0.000086,297.5136,1.4413e-05
69500,228018.4,218.850,-54.300,5.0119,0.050119,0.000080,296.5665,1.4336e-05
70000,229658.8,217.450,-55.700,4.6344,0.046344,0.000074,295.6164,1.4259e-05
70500,231299.2,216.050,-57.100,4.2832,0.042832,0.000069,294.6633,1.4182e-05
71000,232939.6,214.650,-58.500,3.9566,0.039566,0.000064,293.7070,1.4105e-05
71500,234580.1,213.650,-59.500,3.6531,0.036531,0.000060,293.0220,1.4050e-05
72000,236220.5,212.650,-60.500,3.3718,0.033718,0.000055,292.3355,1.3995e-05
72500,237860.9,211.650,-61.500,3.1109,0.031109,0.000051,291.6473,1.3939e-05
73000,239501.3,210.650,-62.500,2.8692,0.028692,0.000047,290.9575,1.3884e-05
73500,241141.7,209.650,-63.500,2.6452,0.026452,0.000044,290.2661,1.3828e-05
74000,242782.2,208.650,-64.500,2.4377,0.024377,0.000041,289.5730,1.3772e-05
74500,244422.6,207.650,-65.500,2.2457,0.022457,0.000038,288.8782,1.3716e-05
75000,246063.0,206.650,-66.500,2.0679,0.020679,0.000035,288.1818,1.3660e-05
75500,247703.4,205.650,-67.500,1.9035,0.019035,0.000032,287.4837,1.3604e-05
76000,249343.8,204.650,-68.500,1.7514,0.017514,0.000030,286.7839,1.3548e-05
76500,250984.3,203.650,-69.500,1.6108,0.016108,0.000028,286.0823,1.3492e-05
77000,252624.7,202.650,-70.500,1.4809,0.014809,0.000025,285.3791,1.3435e-05
77500,254265.1,201.650,-71.500,1.3609,0.013609,0.000024,284.6741,1.3379e-05
78000,255905.5,200.650,-72.500,1.2501,0.012501,0.000022,283.9674,1.3322e-05
78500,257545.9,199.650,-73.500,1.1479,0.011479,0.000020,283.2589,1.3265e-05
79000,259186.4,198.650,-74.500,1.0535,0.010535,0.000018,282.5486,1.3208e-05
79500,260826.8,197.650,-75.500,0.9665,0.009665,0.000017,281.8365,1.3151e-05
80000,262467.2,196.650,-76.500,0.8863,0.008863,0.000016,281.1226,1.3094e-05
80500,264107.6,195.650,-77.500,0.8124,0.008124,0.000014,280.4069,1.3037e-05
81000,265748.0,194.650,-78.500,0.7443,0.007443,0.000013,279.6894,1.2979e-05
81500,267388.5,193.650,-79.500,0.6816,0.006816,0.000012,278.9701,1.2922e-05
82000,269028.9,192.650,-80.500,0.6239,0.006239,0.000011,278.2488,1.2864e-05
82500,270669.3,191.650,-81.500,0.5709,0.005709,0.000010,277.5257,1.2806e-05
83000,272309.7,190.650,-82.500,0.5221,0.005221,0.000010,276.8007,1.2748e-05
83500,273950.1,189.650,-83.500,0.4772,0.004772,0.000009,276.0738,1.2690e-05
84000,275590.6,188.650,-84.500,0.4360,0.004360,0.000008,275.3450,1.2632e-05
84500,277231.0,187.650,-85.500,0.3982,0.003982,0.000007,274.6143,1.2574e-05
85000,278871.4,186.650,-86.500,0.3634,0.003634,0.000007,273.8816,1.2516e-05
85500,280511.8,185.650,-87.500,0.3316,0.003316,0.000006,273.1469,1.2457e-05
86000,282152.2,184.650,-88.500,0.3023,0.003023,0.000006,272.4103,1.2398e-05
